Category ID,Category Name,Retail Name,Retail Price
6,生鮮食品_冷藏食品_飲品．甜點_甜點,梅花鄉 百香綠茶凍,70
6,生鮮食品_冷藏食品_飲品．甜點_甜點,梅花鄉 梅子綠茶凍,70
7,冷凍食品_冰品_各式冰品_雪糕,初鹿牧場-草莓起司雪糕-90gx4,118
7,冷凍食品_冰品_各式冰品_雪糕,義美黑糖珍奶雪糕-80gx4,139
7,冷凍食品_冰品_各式冰品_雪糕,杜老爺巧克力脆粒花生雪糕,88
7,冷凍食品_冰品_各式冰品_雪糕,MR.COOL金點雪糕-紅豆牛奶,80
7,冷凍食品_冰品_各式冰品_雪糕,MR.COOL金點雪糕-紅豆粉粿-70gx5,80
7,冷凍食品_冰品_各式冰品_雪糕,初鹿牧場紅烏龍蜜桃雪糕-100gx4,150
7,冷凍食品_冰品_各式冰品_雪糕,義美珍珠奶茶雪糕,100
7,冷凍食品_冰品_各式冰品_雪糕,義美巧克力脆片雪糕,100
7,冷凍食品_冰品_各式冰品_雪糕,明治牛奶巧酥雪糕-85gx4,140
7,冷凍食品_冰品_各式冰品_雪糕,雅方古早味脆皮巧克力冰棒-52gx5,46
7,冷凍食品_冰品_各式冰品_雪糕,杜老爺特級雪糕,76
7,冷凍食品_冰品_各式冰品_雪糕,明治北海道紅豆雪糕-100gx4,140
7,冷凍食品_冰品_各式冰品_雪糕,阿奇儂雪糕--咖啡核果,65
7,冷凍食品_冰品_各式冰品_雪糕,阿奇儂雪糕-香草朱古力,65
7,冷凍食品_冰品_各式冰品_雪糕,雙葉布丁風味雪糕-75gx5,52
7,冷凍食品_冰品_各式冰品_雪糕,哈根達斯香草焦糖脆杏仁雪糕,99
7,冷凍食品_冰品_各式冰品_雪糕,杜老爺曠世奇派-玫瑰鹽焦糖巧克力-73gx4,115
7,冷凍食品_冰品_各式冰品_雪糕,明治北海道黑色巧克力雪糕-80gx4,140
7,冷凍食品_冰品_各式冰品_雪糕,杜老爺矌世奇派抹茶紅豆雪糕,126
7,冷凍食品_冰品_各式冰品_雪糕,百吉布丁雪糕-75gx5,100
7,冷凍食品_冰品_各式冰品_雪糕,初鹿牧場-牛奶雪糕-85gx4,118
7,冷凍食品_冰品_各式冰品_雪糕,杜老爺絕配紅豆牛奶雪糕-64gx5,88
7,冷凍食品_冰品_各式冰品_雪糕,阿奇儂雪糕--花生脆粒,65
7,冷凍食品_冰品_各式冰品_雪糕,小美黑糖珍奶雪糕-80gx4,120
7,冷凍食品_冰品_各式冰品_雪糕,雙葉牛奶巧酥雪糕-80gx4,52
7,冷凍食品_冰品_各式冰品_雪糕,雅方瑪克香草巧克力雪糕-62gx5,98
7,冷凍食品_冰品_各式冰品_雪糕,雙葉冰棒-蘇打風味-80gx5,52
7,冷凍食品_冰品_各式冰品_雪糕,東和花生雪糕-65gx4,139
7,冷凍食品_冰品_各式冰品_雪糕,哈根雪糕驚脆系列4入香巧莓茶,318
7,冷凍食品_冰品_各式冰品_雪糕,義美台灣花生巧克力雪糕,140
7,冷凍食品_冰品_各式冰品_雪糕,義美貓熊雪糕,88
7,冷凍食品_冰品_各式冰品_雪糕,雅方北海道之雪紅豆煉乳雪糕-75gx4,119
7,冷凍食品_冰品_各式冰品_雪糕,雅方北海道之雪紅豆抹茶拿鐵雪糕-75gx4,119
7,冷凍食品_冰品_各式冰品_雪糕,雅方黑糖珍奶雪糕-80gx4,119
7,冷凍食品_冰品_各式冰品_雪糕,阿奇儂雪糕-鹹蛋黃珍珠-80gx4,119
7,冷凍食品_冰品_各式冰品_雪糕,雅方北海道a雪阿薩姆煉乳奶茶-75gx4,119
7,冷凍食品_冰品_各式冰品_雪糕,雅方北海道a雪濃厚巧克力雪糕-75gx4,119
7,冷凍食品_冰品_各式冰品_雪糕,雅方北海道a雪薄荷巧克力雪糕-75gx4,119
8,冷凍食品_冰品_各式冰品_冰棒,義美紅豆牛奶冰棒-87.50gx5,79
8,冷凍食品_冰品_各式冰品_冰棒,家樂福超值鳳梨枝仔冰棒-375g,29
8,冷凍食品_冰品_各式冰品_冰棒,家樂福超值綠豆枝仔冰棒-375g,29
8,冷凍食品_冰品_各式冰品_冰棒,家樂福超值芋頭枝仔冰棒-375g,29
8,冷凍食品_冰品_各式冰品_冰棒,義美土豆仁牛奶冰棒,79
