category_name,product_name,unit_price
生活休閒_日用百貨_免洗餐具_烤肉器材(BBQ),【烤肉用品】烤肉夾3入,25
美妝護理_衛生紙_衛生紙_抽取式,舒潔女性專用濕式衛生紙,98
飲料零食_休閒零食_洋芋片．薯條_原味,卡迪那全天然洋芋片鹽味175G,69
米油沖泡_調味品．罐頭．湯品_調味粉．醬_烤肉醬．牛排醬,金蘭烤肉醬 240g,42
生活休閒_寵物用品_貓_貓乾糧．罐頭,福壽喵喵貓食-海鮮總匯 4.54Kg,279
日用百貨_家庭清潔_居家清潔_除濕劑,家樂福白玫瑰集水袋除濕盒補充包,48
日用百貨_家庭清潔_居家清潔_除濕劑,克潮靈環保除濕桶補充包-去霉味,59
米油沖泡_咖啡．茶包_茶包_紅茶,天仁阿薩姆紅茶防潮包-2g*100,163
飲料零食_糖果．巧克力．口香糖_糖果_果凍．羊羹,Sugarlolo低卡蒟蒻果凍-水蜜桃-150ml,69
米油沖泡_米．食用油_食用米_米,天生好米履歷鷺巡芋香米2kg,298
飲料零食_精選餅乾_甜餅乾_餅乾棒,樂天杏仁巧克力棒,30
飲料零食_休閒零食_洋芋片．薯條_其它口味,華元波的多洋芋片-酸奶洋蔥口味78g,36
米油沖泡_泡麵．麵條_速食麵_麵條拉麵,韓國不倒翁Q拉麵(純粗麵條)110g*5,78
飲料零食_茶飲．咖啡．水_機能飲料_運動飲料,黑松FIN乳酸菌補給飲料-580mlx4,95
飲料零食_精選餅乾_甜餅乾_奶油雞蛋口味,KASTEL丹麥奶酥餅-340g,139
米油沖泡_咖啡．茶包_咖啡_咖啡隨身包,貝納頌三合一咖啡-經典曼特寧,229
生鮮食品_肉品．高湯_加工肉品_烤肉食材,【金豐盛】蒜鹽百里香醃雞胸(每包約170g),85
飲料零食_茶飲．咖啡．水_礦泉水．氣泡水_氣泡水,泰山Cheers奇兒思檸檬氣泡水-590mlx4,117
生活休閒_寵物用品_貓_貓砂,【寵物用品】F#2貓砂總動員,99
米油沖泡_咖啡．茶包_咖啡_咖啡隨身包,貝納頌二合一咖啡(經典曼特寧風味)13g X25,229
生鮮食品_冷藏食品_調理食品_沙拉．味噌．泡菜．醬料,韓國鄉村泡菜,255
冷凍食品_火鍋料理_各式火鍋料_火鍋餃/火鍋料,韓國水協-魚板辣炒年糕,149
生鮮食品_蔬菜．水果．禮盒_各式蔬菜_果實類,家樂福嚴選台灣迷你水果彩椒(每盒約300克),75
生活休閒_寵物用品_狗_狗乾糧．罐頭,西莎野菜牛肉100g6入/組,188
日用百貨_衛浴用品_毛巾．浴巾．海灘巾_方巾,蘇格蘭格紋毛巾3入-顏色隨機出貨,149
米油沖泡_咖啡．茶包_茶包_綠茶,天仁茉香綠茶,173
米油沖泡_咖啡．茶包_茶包_即溶茶,立頓奶茶粉-減糖原味-17gx20,152
生活休閒_寵物用品_狗_狗乾糧．罐頭,席瑞思犬食-牛肉口味3.5公斤,229
飲料零食_精選餅乾_鹹餅乾_點心零食,農心洋蔥圈(辣味)-70g,45
米油沖泡_泡麵．麵條_速食麵_麵條拉麵,不倒翁金拉麵-辛辣-120g*5,126
美妝護理_個人清潔_沐浴用品_進口香皂．抗菌香皂．潔手乳,美琪天然T3抗菌洗手乳,101
米油沖泡_奶粉．麥片．穀粉_沖泡飲品_其他早餐飲品,馬玉山抹茶牛奶 15克x14,112
米油沖泡_咖啡．茶包_茶包_綠茶,立頓茗閒情100％台灣茶-活綠茶-90g(2.5gx36),176
生活休閒_寵物用品_狗_狗乾糧．罐頭,【狗罐】寶路雞肉罐400g,47
飲料零食_精選餅乾_鹹餅乾_其他口味,Binggrae螃蟹餅乾(火辣炒碼口味),59
米油沖泡_奶粉．麥片．穀粉_早餐食品_什錦果麥,喜瑞爾 Health Passion蔓越莓綜合果麥-320g,169
米油沖泡_米．食用油_食用米_米,中興米台灣魯肉飯(圓一)2.5Kg,258
美妝護理_女性衛生_衛生棉_護墊,靠得住安全瞬吸護墊無香標準型14.5cm-30PCx2,120
米油沖泡_泡麵．麵條_速食麵_麵條拉麵,農心辛辣白菜風味拉麵超值包120g x5,159
生鮮食品_肉品．高湯_加工肉品_烤肉食材,冷凍澳洲牛沙朗烤肉片(每盒約250克),190
日用百貨_家庭清潔_廚房清潔_洗碗精,泡舒抗菌洗潔精-檸檬-2800g,184
日用百貨_家庭清潔_洗衣用品_濃縮洗衣粉,一匙靈Attack抗菌EX超濃縮洗衣粉-1.8Kg,128
米油沖泡_奶粉．麥片．穀粉_沖泡飲品_其他早餐飲品,馬玉山紅豆紫米堅果飲 30克x12,91
日用百貨_衛生紙_面紙．濕紙巾_濕紙巾,家樂福抗菌潔膚濕巾,45
日用百貨_家庭清潔_居家清潔_除濕劑,家樂福除濕劑-薰衣草-450mlx4,68
米油沖泡_奶粉．麥片．穀粉_沖泡飲品_其他早餐飲品,桂格鮮榖王鮮蔬多穀飲,142
生鮮食品_冷藏食品_乳製品_活性乳酸飲料,啵樂樂乳酸飲料-蘋果味-235ml,39
冷凍食品_火鍋料理_各式火鍋料_火鍋餃/火鍋料,桂冠 黃金起司球,47
生活休閒_寵物用品_貓_貓乾糧．罐頭,歡樂派貓乾糧(多種魚類-鮪魚+鮭魚+鱈肉),399
飲料零食_休閒零食_洋芋片．薯條_肉類．海鮮口味,SIMPLY GOOD樂事羅勒青醬嫩雞-81g,45
飲料零食_休閒零食_洋芋片．薯條_原味,好麗友ORION預感香烤洋芋片-原味-64g,69
米油沖泡_咖啡．茶包_咖啡_咖啡粉/咖啡豆,家樂福曼特寧風情咖啡豆,210
日用百貨_家庭清潔_洗衣用品_洗衣精,白蘭強效除蹣過敏洗衣精補充包-1.6Kg,79
飲料零食_精選餅乾_烘培糕餅_千層派/夾心派,好麗友蛋黃派,129
生鮮食品_冷藏食品_調理食品_沙拉．味噌．泡菜．醬料,宗家府泡菜-白菜切塊300g,199
生活休閒_日用百貨_免洗餐具_烤肉器材(BBQ),簡易實用型烤肉架,42
米油沖泡_米．食用油_食用米_米,鹿野農會產地米1.5Kg,179
美妝護理_衛生紙_衛生紙_抽取式,可麗舒抽取衛生紙-100PCx24包x3袋,702
生活休閒_寵物用品_狗_狗乾糧．罐頭,西莎精緻狗食-雞肉100g,188
生活休閒_寵物用品_貓_貓乾糧．罐頭,歡樂派貓乾糧(鮪魚+鮭魚+雞肉),399
米油沖泡_奶粉．麥片．穀粉_沖泡飲品_其他早餐飲品,桂格鮮榖王堅果多穀飲,142
日用百貨_家庭清潔_居家清潔_除濕劑,克潮靈櫥櫃用除濕劑-備長炭-210g*4,85
生鮮食品_肉品．高湯_豬．牛．羊肉_牛肉,家樂福冷凍美國牛霜降火鍋片(每盒約250克),250
米油沖泡_奶粉．麥片．穀粉_沖泡飲品_其他早餐飲品,馬玉山高纖山藥多穀粥 35克x12,129
米油沖泡_咖啡．茶包_咖啡_即溶咖啡,摩卡巴西香濃咖啡補充包,202
飲料零食_精選餅乾_鹹餅乾_其他口味,Binggrae螃蟹餅乾(芥末口味),59
冷凍食品_微波食品_微波餐點_義大利麵．丼飯．麵點,[限量]Olbaan韓國雙層起司仿米熱狗-400g,299
飲料零食_精選餅乾_鹹餅乾_米果,北田能量99棒(南瓜口味),45
米油沖泡_泡麵．麵條_速食麵_麵條拉麵,不倒翁辣起司風味拉麵111g x4,179
飲料零食_果汁．飲料．養生_可樂．汽水．沙士_加味汽水及沙士,英國Barr覆盆子風味無糖飲料-330ml,28
生活休閒_運動．休閒．旅行用品_露營．踏青_瓦斯罐,運動家通用瓦斯罐(3入),89
米油沖泡_奶粉．麥片．穀粉_沖泡飲品_其他早餐飲品,桂格穀珍堅果多多-堅果芝麻糊,90
美妝護理_個人清潔_沐浴用品_進口香皂．抗菌香皂．潔手乳,綠的藥皂,138
生活休閒_日用百貨_餐具/鍋具/廚房配件_鋁箔、保鮮膜袋,南亞保鮮膜真省包 3支/組,199
米油沖泡_咖啡．茶包_茶包_即溶茶,3點1刻日月潭奶茶,129
生鮮食品_人氣熟食_農特產品_紫菜類,登豐特級海帶芽100g,79
生鮮食品_肉品．高湯_加工肉品_烤肉食材,冷凍澳洲牛肩胛烤肉片(每盒約250克),190
生活休閒_寵物用品_狗_狗乾糧．罐頭,【狗食】寶路雞肉包70g,120
日用百貨_家庭清潔_清潔工具_垃圾袋,福營環保捲筒垃圾袋-2.4KG,199
